"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"동구","계","계",333566,332988,337666,338365,338357,337814,336795,335328,333827,332297,330727,329115,327421,325637,323783,321833,319763,317542,315199,312726,310155
"동구","계","0 - 4세",9702,9128,8880,8358,7989,7717,7686,7774,7983,8231,8431,8582,8689,8754,8787,8797,8770,8684,8556,8396,8215
"동구","계","5 - 9세",13350,12796,12250,11355,10397,9637,8919,8287,7728,7357,7100,7076,7161,7359,7585,7765,7904,8001,8069,8104,8119
"동구","계","10 - 14세",13021,12995,13033,13020,12745,12223,11644,10992,10152,9264,8563,7906,7353,6864,6553,6332,6318,6391,6568,6765,6926
"동구","계","15 - 19세",12268,12513,12617,12595,12853,12948,12720,12606,12601,12338,11854,11310,10679,9869,9002,8300,7652,7121,6652,6351,6133
"동구","계","20-24세",16593,15208,15216,14631,13896,13666,13700,13380,13197,13367,13393,13175,13102,13114,12855,12370,11807,11132,10304,9398,8659
"동구","계","25-29세",21477,20528,20182,19765,19121,18267,17229,16598,15548,14488,14098,14031,13695,13581,13799,13846,13672,13627,13648,13366,12878
"동구","계","30-34세",21170,21926,23352,23751,23988,23459,22843,21939,21347,20611,19621,18488,17772,16544,15415,15034,14945,14624,14557,14797,14858
"동구","계","35-39세",21137,20341,20681,21223,21680,22390,23110,23435,23476,23499,22936,22386,21611,21142,20474,19476,18353,17632,16376,15311,14969
"동구","계","40-44세",24879,25102,24841,23535,22189,21048,20169,19949,20228,20424,20948,21550,21853,21923,21994,21524,21060,20364,19976,19357,18407
"동구","계","45-49세",24560,23840,23367,23473,24078,24388,24385,23873,22628,21360,20240,19332,19055,19244,19356,19820,20380,20676,20768,20875,20468
"동구","계","50-54세",27822,27801,27805,27505,26591,25735,24789,23928,23849,24305,24553,24573,24104,22889,21627,20472,19504,19170,19301,19375,19825
"동구","계","55-59세",27105,26878,28017,28332,28750,29280,29320,28831,28276,27164,26169,25137,24250,24175,24631,24898,24963,24505,23280,22007,20826
"동구","계","60-64세",29320,29737,29328,28731,27793,27468,27387,28267,28549,28923,29371,29346,28845,28250,27103,26089,25048,24169,24117,24577,24865
"동구","계","65-69세",23737,24614,26176,27196,28595,29110,29616,29111,28512,27584,27291,27231,28108,28426,28823,29261,29221,28731,28115,26970,25961
"동구","계","70-74세",18352,18961,19306,20599,22179,22910,23878,25294,26319,27731,28264,28814,28395,27854,27001,26774,26752,27634,27987,28398,28825
"동구","계","75-79세",12776,13072,14002,14892,15992,16945,17592,17925,19155,20628,21363,22316,23699,24761,26183,26748,27331,26992,26525,25773,25610
"동구","계","80-84세",9778,10532,10937,10997,10418,10665,11012,11804,12585,13480,14331,14938,15286,16427,17735,18450,19342,20590,21630,22973,23510
"동구","계","85-89세",4801,5145,5551,5967,6330,6865,7428,7685,7722,7273,7533,7860,8496,9093,9686,10358,10846,11163,12091,13090,13696
"동구","계","90-94세",1404,1513,1747,2017,2311,2550,2757,2957,3177,3370,3674,3988,4102,4101,3816,4030,4276,4673,5007,5275,5696
"동구","계","95세이상",314,358,378,423,462,543,611,693,795,900,994,1076,1166,1267,1358,1489,1619,1663,1672,1568,1709
"서구","계","계",161124,159926,164015,164440,163857,162459,160373,157704,155278,153060,150985,149030,147176,145409,143708,142033,140386,138744,137098,135445,133780
"서구","계","0 - 4세",2304,2257,2645,2613,2511,2363,2210,2102,2090,2109,2132,2154,2173,2187,2193,2196,2189,2168,2136,2097,2049
"서구","계","5 - 9세",4021,3820,3936,3807,3568,3298,3113,2882,2636,2439,2271,2155,2108,2132,2175,2213,2244,2272,2289,2295,2301
"서구","계","10 - 14세",4460,4409,4555,4691,4659,4615,4368,4121,3828,3479,3148,2940,2717,2498,2328,2190,2103,2081,2118,2168,2211
"서구","계","15 - 19세",5364,5220,5140,4899,4927,4962,4927,4866,4872,4742,4630,4353,4119,3820,3464,3141,2933,2711,2499,2345,2222
"서구","계","20-24세",8232,7234,6971,6539,6035,5748,5633,5371,5132,5183,5196,5142,5086,5096,4971,4857,4573,4341,4029,3660,3349
"서구","계","25-29세",10847,10219,9959,9503,8956,8305,7596,7198,6678,6147,5897,5816,5627,5512,5629,5639,5588,5542,5552,5425,5285
