"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"종로구","계","95세이상",190,199,223,240,258,282,304,336,381,422,467,501,545,588,628,701,744,756,783,765,828
"중구","계","계",124819,126473,127022,126858,126445,125889,125199,124405,123727,123133,122609,122120,121642,121196,120766,120300,119817,119278,118702,118067,117367
"중구","계","0 - 4세",2970,2856,2652,2474,2342,2290,2333,2431,2549,2684,2805,2909,2999,3073,3138,3185,3213,3205,3171,3122,3064
"중구","계","5 - 9세",3240,3067,2828,2636,2443,2221,2074,1920,1784,1688,1649,1680,1739,1826,1923,2005,2078,2143,2197,2244,2276
"중구","계","10 - 14세",2870,2741,2748,2724,2628,2544,2369,2196,2046,1884,1714,1612,1492,1393,1326,1301,1325,1366,1431,1501,1563
"중구","계","15 - 19세",3893,3805,3470,3293,3175,3188,3119,3124,3103,3025,2935,2767,2617,2472,2286,2098,1983,1852,1745,1665,1622
"중구","계","20-24세",8526,8551,8483,7943,7449,7020,6709,6435,6372,6370,6462,6385,6383,6364,6276,6128,5882,5655,5397,5062,4757
"중구","계","25-29세",11952,12343,12400,12369,12178,11802,11330,10831,10142,9537,9101,8946,8787,8760,8823,8946,8845,8827,8795,8682,8451
"중구","계","30-34세",11303,12151,12675,13018,13280,13170,12942,12706,12492,12226,11794,11263,10764,10118,9535,9179,9142,9029,9006,9100,9217
"중구","계","35-39세",9825,9990,10170,10346,10385,10776,11060,11180,11284,11380,11223,11051,10886,10718,10509,10109,9615,9195,8653,8161,7912
"중구","계","40-44세",9044,9286,9389,9160,9013,8703,8537,8411,8415,8382,8692,8897,9047,9168,9270,9151,9036,8905,8763,8591,8239
"중구","계","45-49세",8217,7935,7747,7907,8127,8297,8369,8380,8079,7868,7533,7359,7231,7256,7250,7535,7701,7859,7980,8083,7986
"중구","계","50-54세",10199,10034,9720,9321,8800,8355,8119,7845,7969,8142,8302,8385,8393,8077,7844,7488,7297,7158,7193,7199,7471
"중구","계","55-59세",9651,9395,9527,9517,9717,9909,9763,9581,9232,8770,8366,8134,7865,7989,8156,8329,8421,8412,8084,7833,7466
"중구","계","60-64세",9836,9988,9801,9626,9182,9019,8780,8951,9005,9237,9434,9342,9213,8900,8489,8120,7897,7641,7779,7947,8123
"중구","계","65-69세",7935,8371,8820,8941,9308,9229,9380,9180,9028,8634,8535,8349,8564,8654,8897,9104,9057,8965,8678,8296,7955
"중구","계","70-74세",5591,5628,5832,6333,6874,7312,7781,8166,8309,8686,8643,8820,8652,8544,8207,8151,8009,8253,8372,8621,8836
"중구","계","75-79세",4336,4516,4609,4793,4897,4992,5054,5283,5766,6280,6699,7139,7527,7713,8111,8115,8317,8177,8104,7811,7787
"중구","계","80-84세",3182,3420,3513,3604,3574,3649,3806,3904,4095,4189,4299,4384,4611,5060,5523,5895,6299,6661,6873,7271,7307
"중구","계","85-89세",1562,1659,1834,1970,2073,2303,2479,2550,2611,2589,2677,2820,2906,3070,3136,3246,3340,3531,3905,4271,4570
"중구","계","90-94세",559,581,628,686,791,884,945,1048,1132,1202,1348,1449,1487,1523,1508,1586,1687,1747,1860,1889,1983
"중구","계","95세이상",128,156,176,197,209,226,250,283,314,360,398,429,479,518,559,629,673,697,716,718,782
"용산구","계","계",218951,217722,207409,203513,200695,198792,197610,196999,196357,195678,194944,194173,193383,192563,191717,190844,189923,188920,187845,186705,185509
