시점,sido,행정구역(시군구)별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2023,부산광역시,중구,38853,342.5,603,781,935.5,2276.5,3244.5,2540,1769,2183,2369,3229.5,3101.5,3877.5,3841.5,2887,2140.5,2731.5,1657,1074.5,728.5,263.5,68.5,14
2023,부산광역시,서구,104126,1961,3080.5,3461,3603,5893.5,6448.5,5477.5,4919,6916.5,6739.5,8477.5,8302,10077.5,9211,7144.5,5378,7035.5,4239,2796.5,1995.5,621,163,17
2023,부산광역시,동구,86574,1779,2104.5,2209.5,2445,3836,5656,5809,4846,5659,5587.5,7102.5,6749,8148,7752,6134.5,4657,6099.5,3724.5,2375,1730,520,110,15
2023,부산광역시,영도구,106811.5,1722,2706,3296,3469.5,4874,5245.5,4984,4775.5,6680,7019.5,8737.5,8928.5,11246.5,10720.5,8310,6403,7693.5,4859,2834.5,2060,624.5,131,19
2023,부산광역시,부산진구,355831.5,8391,11147,11791.5,12194.5,21331,28438,26697,22340,25377,23955.5,28422.5,27239,31235,27060,19366.5,13774,17072,10564,6508,4747.5,1446.5,279,35
2023,부산광역시,동래구,271042.5,7079,11655.5,13132.5,12348.5,13782.5,15558,15625,16165,22278.5,21050,23131.5,20459.5,22706.5,20101.5,14583,9978,11408,6989,4419,3167.5,1018,208.5,25
2023,부산광역시,남구,254104.5,5143.5,9401,11021.5,11170.5,16932.5,15622,13341,13135,18933.5,19144,22015,19102,21341.5,19555,14786,10853.5,12607,7847.5,4759.5,3476,1038,218,27.5
2023,부산광역시,북구,275384,6775,9802.5,10622.5,10968,14335,17133.5,17330.5,15423.5,18957,18636.5,23838.5,25660,28539.5,22206,14403.5,9488,11264.5,6873,4391.5,3160,984,214.5,33
2023,부산광역시,해운대구,381496,8905,15084.5,17918,17915,20005.5,21708,20794,21194.5,29623.5,30391.5,35571.5,31702.5,33089.5,27840,19240,13514,16999,10047,6952,4935,1609.5,356.5,51
2023,부산광역시,사하구,298845,6269,9952,11797.5,12075.5,16625.5,18224.5,16945,16256,21683.5,21153,25897.5,25397,29307.5,25146,17292,11674,13149.5,8073,5076.5,3617.5,1138,290.5,30.5
2023,부산광역시,금정구,217581,3777.5,6563.5,7821,8488,14494,14701,11777,10515,14361.5,14427.5,18039,18457.5,21194.5,18285.5,13476,9533,11669.5,7030.5,4639,3321.5,1072.5,214,31
2023,부산광역시,강서구,142464,6999.5,10918.5,9133.5,5371.5,4714.5,6913.5,10373,13618,17029,11214,9085,8023.5,9522,8033,4977,2933,3605.5,2125.5,1480,998.5,395,78,8.5
2023,부산광역시,연제구,203888.5,5151.5,7583,8044.5,8082.5,10273.5,12857,13167,12435.5,15900.5,14767,17007.5,15896.5,17683.5,15911.5,11544.5,8102.5,9480.5,5912,3568.5,2624,793.5,131,20
2023,부산광역시,수영구,173561,3928,5290,5616,5797,8918,13698,12878,10563.5,12605.5,11662,13791,12689,14737,14011,10509.5,7785,9082.5,5512,3570.5,2539,834,178.5,19
2023,부산광역시,사상구,202530.5,3904.5,5910.5,6801,7139.5,11333.5,14092,12979.5,10687,13606.5,13227,17161.5,19281,22157,17408,11617,7432.5,7792.5,4894,2898.5,2145,618,115.5,20
2023,부산광역시,기장군,178233,6177.5,10195,10486.5,8389.5,7801,8659.5,10254.5,12305,17793,15553.5,14529.5,11714.5,12372.5,11052,7990,5877,7082.5,4157,2925.5,2024,701.5,171,29
2023,대구광역시,대구광역시,2372562,59547,94764,106649,109453.5,137540.5,150989,143435.5,135914,177123,181869.5,215325,202017,202866.5,157212,113543,77986,106327.5,62908.5,43419,31388.5,9946,1837.5,247
2023,대구광역시,중구,84029.5,2816,3407.5,2918,3014,5072,7160.5,6968,6204,6440.5,5727,6512,5590,5674,4968,3957,3254.5,4346.5,2558.5,1788,1257,424.5,91.5,15
2023,대구광역시,동구,339814.5,9268,13011,13306.5,12919,16754,21096.5,22254.5,20742.5,25462.5,24353,28340.5,27722.5,29700,25043.5,18927,13364.5,17549,10576.5,6972.5,5131,1512.5,292.5,36.5
2023,대구광역시,서구,161046.5,2490.5,4016.5,4537.5,5099.5,7534.5,10048.5,9547.5,7780.5,9663,10396,14015.5,16146,17956.5,14492.5,10850.5,7258,9213.5,5695,3518.5,2620.5,735.5,144.5,18
2023,대구광역시,남구,139440,2447.5,3367.5,3835,4759,8080.5,10477.5,8937.5,7395.5,8933,9203,11869,11408.5,12752.5,11379.5,8734.5,6455,9405,5488,3917,2797.5,932.5,164.5,22.5
2023,대구광역시,북구,424040,10648.5,16945.5,19134,20987,29102.5,28716,25405.5,23881.5,30981,34019,40799.5,36442.5,35021.5,25298,17831.5,12371,16455.5,10014,6441.5,4671,1461,267.5,42
2023,대구광역시,수성구,408093.5,8553.5,17748.5,23494,24286.5,25118.5,23265,20225.5,20201,31393,34874,40245,34118.5,31214,24641.5,17890,12690.5,18134.5,10311,7823.5,5540.5,1885,351.5,46.5
2023,대구광역시,달서구,530809.5,12117,20942.5,24785.5,26377,33497.5,35118.5,31621,29059.5,38758,41478.5,50583.5,48054.5,47106.5,33860.5,23131.5,14731,19587,11674,7913,5744,1825.5,305,38.5
2023,대구광역시,달성군,262179,10919.5,15042.5,14215.5,11554,11810,14430,17898,20003,24664.5,20794.5,21326,20133.5,20319.5,14663,9932.5,6113,8360,4805,3555,2534.5,836,165.5,19
2023,대구광역시,군위군,23109.5,286.5,282.5,423,457.5,571,676.5,578,646.5,827.5,1024.5,1634,2401,3122,2865.5,2288.5,1748.5,3276.5,1786.5,1490,1092.5,333.5,55,9
2023,인천광역시,인천광역시,2966979,84134,121382,137201,134775,163436,205728.5,209312,197689,245155,232763.5,262520,246106.5,248459.5,179728.5,110819,81399,106370.5,60135.5,46235,31607,11530.5,2665.5,432
2023,인천광역시,중구,154889,5110,6908.5,7497.5,6771,7852,12051.5,12792,11411.5,14109.5,13001.5,12857.5,10413,10172.5,8522.5,5650,4394,5374.5,3088.5,2286,1518.5,595.5,145.5,26.5
2023,인천광역시,동구,58959,1190.5,1782.5,2228,2442.5,2797.5,3191.5,3256.5,3222.5,4496.5,4523.5,4994,4622,5289,4801.5,3526,2925,3670,2184.5,1485.5,1006,378.5,90.5,10.5
2023,인천광역시,미추홀구,403391.5,10143.5,13917.5,15535,15790.5,23223.5,29707,28841,26029,32206,30017,34671,31844.5,33952,27253.5,18260.5,14251,17749,10403.5,7345.5,5113.5,1757.5,415.5,59
2023,인천광역시,연수구,387342.5,13426.5,20669,22970,21190.5,22909,24537,25930,27877,35423,33112.5,34891,30103.5,28706.5,18499,10015.5,7153.5,9929,5415.5,4513.5,2986,1190,291,46.5
2023,인천광역시,남동구,496577.5,11802,19891.5,23825.5,23103.5,27566,34527,32600.5,30311,41225.5,40321.5,44690,41744.5,42556.5,31395.5,19638,14083.5,17295.5,9912.5,7383,5058.5,1834.5,421,69
2023,인천광역시,부평구,488915,12163.5,16666,19258.5,20762,26779.5,36533.5,37594,32125.5,36990.5,36051.5,43426,42950,43595,31619.5,19637,14127.5,18635.5,10605.5,8030,5562.5,1974.5,416,77
2023,인천광역시,계양구,283118,6013,8686.5,11032.5,12492,16527.5,21075.5,19723.5,16555.5,20016,20908,27182.5,28678.5,29021,18244.5,10028.5,7002,9931,5539,4392,3040,1064,254,34
2023,인천광역시,서구,604260,22603,30871,32199,29413,32148.5,40496,45161,46817.5,56253,49807,53271.5,47746.5,44184.5,29654,17195,11601.5,14838,8265,6573,4453.5,1656,397,66.5
2023,인천광역시,강화군,69116,1332,1585.5,2175,2245,2353.5,2361,2439.5,2521.5,3402,3848.5,5091.5,6132.5,8465,7562,5469,4758,7374.5,3936.5,3438,2372.5,870.5,169,26
2023,인천광역시,옹진군,20410.5,350,404,480,565,1279,1248.5,974,818,1033,1172.5,1445,1871.5,2517.5,2176.5,1399.5,1103,1573.5,785,788.5,496,209.5,66,17
2023,광주광역시,광주광역시,1420562,40702.5,62653.5,73565,75537,93358,100970,88568,86476.5,113836,115058.5,126801,111240,103884,76434,55494,41910,54074,31736.5,22337.5,15645.5,5395.5,1114,182.5
2023,광주광역시,동구,105751,3461.5,4077,3664.5,3810,6925.5,7918.5,7303.5,6840.5,7486,6862,8015,7576.5,8152,7185.5,5641.5,4562.5,6269,3741.5,2527.5,1780.5,613,114.5,19.5
2023,광주광역시,서구,284640,6830.5,11131,13710.5,14873,19495.5,22044,17759,16112,21649,22855.5,26471,23177.5,21431.5,15913,11551.5,8668.5,10967,6404.5,4562.5,3169.5,1114.5,235.5,43
2023,광주광역시,남구,210508,5534.5,9706.5,11569,10959.5,12281,13004,11580,12102,16852.5,16563,17176,15358,16270,13288,10346.5,7918.5,9999,5866,4133,2886,997,213.5,36.5
2023,광주광역시,북구,421862,12179.5,17442,19777.5,20639.5,26883,29944,26989,26074.5,32384,32160,36532,34458.5,33879.5,24846.5,17862.5,13180.5,16629.5,9819.5,6810,4763,1653,343.5,50.5
2023,광주광역시,광산구,397801,12696.5,20297,24843.5,25255,27773,28059.5,24936.5,25347.5,35464.5,36618,38607,30669.5,24151,15201,10092,7580,10209.5,5905,4304.5,3046.5,1018,207,33
2023,대전광역시,대전광역시,1438846,40665,58776,67868.5,71044,92828.5,108309,97767.5,89435,109851.5,112264.5,128480.5,111280.5,112122,86670.5,56734.5,40211,54537.5,31267,23270.5,16261.5,5618.5,1198.5,192
2023,대전광역시,동구,217792.5,5188,7493,8924.5,10015,14962,13978,12453.5,11626.5,15501,16173,18684.5,17161,18963.5,15857,11277.5,8369,11165.5,6634,4531.5,3225.5,1053,218.5,34.5
2023,대전광역시,중구,224216,4873,7566.5,9582.5,10468,13032,15142,12597,11514,15770,17117,20186,17989,18825,16251,11890.5,9132,12280.5,7137,5143.5,3649,1202,248,44.5
2023,대전광역시,서구,465772.5,12959,19655.5,23063,23858.5,30700.5,38616,33516,29817.5,36350,36828,41574.5,34736,34527.5,26327,16693,11415.5,15135,8602.5,6532.5,4529,1595,355.5,53
2023,대전광역시,유성구,360468,13681.5,18620,19388.5,18822,23641.5,29016,28955,27275.5,30917.5,29331.5,31235.5,25520,23798,16335.5,9348.5,5964.5,8617,4645.5,3971.5,2651.5,1065,221.5,33.5
2023,대전광역시,대덕구,170597,3963.5,5441,6910,7880.5,10492.5,11557,10246,9201.5,11313,12815,16800,15874.5,16008,11900,7525,5330,7339.5,4248,3091.5,2206.5,703.5,155,26.5
2023,울산광역시,울산광역시,1103825,31542,50497,56355,53417.5,57363,68305.5,68602,69206.5,91669.5,87290,102820.5,100947.5,96350,69445,42883,26278.5,30852.5,18492,12360.5,8724.5,2944,624,68
2023,울산광역시,중구,207749,5096.5,8603.5,9888,9344,10041,12400.5,12112,11921.5,16165,15517.5,19123,19671,19636.5,15106,9937,6185,7001,4346.5,2654.5,1893.5,628,121,12
2023,울산광역시,남구,307630.5,8025,12537.5,14111.5,14338,17687,21846,21306.5,19031.5,23723,23492,30064,28862.5,26863,19306,11799,7003.5,7634.5,4725.5,2909,2130,642.5,128,8.5
2023,울산광역시,동구,151573.5,4225.5,7701.5,8545.5,7405.5,7080,8548.5,8584,10629.5,14328.5,12315.5,12196,11922.5,13905,10628,6461.5,3609,3487.5,2188,1299.5,911,305.5,72,11
2023,울산광역시,북구,217189,8440,12979.5,13222.5,11362,10707.5,13359,14816.5,15851,21229.5,18095,19306,19485.5,15938.5,9471,5363,3417,4145.5,2380.5,1765,1224,421,106.5,13.5
2023,울산광역시,울주군,219683,5755,8675,10587.5,10968,11847.5,12151.5,11783,11773,16223.5,17870,22131.5,21006,20007,14934,9322.5,6064,8584,4851.5,3732.5,2566,947,196.5,23
2023,세종특별자치시,세종특별자치시,384276.5,18091,26644,27710,22129.5,17677.5,20367,27577,32533.5,41373,35258.5,30632.5,22243,20775,15612,9696,6348,9609,5109.5,4499.5,3023.5,1191.5,248,36.5
2023,세종특별자치시,세종시,384276.5,18091,26644,27710,22129.5,17677.5,20367,27577,32533.5,41373,35258.5,30632.5,22243,20775,15612,9696,6348,9609,5109.5,4499.5,3023.5,1191.5,248,36.5
2023,경기도,경기도,13545542.5,414094,600617.5,671466.5,650517,772182.5,932864,943400,929355,1152431.5,1104358,1224263.5,1072415,1029614,749825,470060.5,354344,473734.5,269574,204160.5,142329,49266.5,10889.5,1675.5
2023,경기도,수원시,1188668.5,35148,49526,56393.5,57746.5,77429.5,100019.5,97012.5,84722,99430,95965,106222,92863.5,84667.5,56696.5,35117,25873,33836.5,19189.5,14647,10215,3531.5,784,116.5
2023,경기도,장안구,269395,6053,9513,12414,14176,19719.5,21524,17877.5,15245.5,19743.5,21754.5,25843.5,23178.5,21136.5,14578,9332.5,7189,10116.5,5633.5,4483,3098.5,1106.5,240.5,37.5
2023,경기도,권선구,365478.5,11086.5,15634.5,16713.5,15943,21053.5,29482,29881.5,27061.5,31634,28342,31872,30141,28311,18869.5,11330.5,8082,10040.5,5707.5,4333,3008.5,1054,236.5,34
2023,경기도,팔달구,193474.5,5418,6189,6415,7641,12392,18080,17452.5,13828.5,14149,14141,16680.5,15165,15041.5,11076.5,7326.5,5548,6930.5,4062,2868.5,2058,649,139,22.5
2023,경기도,영통구,360320.5,12590.5,18189.5,20851,19986.5,24264.5,30933.5,31801,28586.5,33903.5,31727.5,31826,24379,20178.5,12172.5,7127.5,5054,6749,3786.5,2962.5,2050,722,168,22.5
