"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"남구","계","40-44세",18995,18731,18150,16960,15838,14744,13798,13399,13400,13315,13586,13956,14069,14008,14063,13754,13438,13033,12811,12369,11712
"남구","계","45-49세",19877,18804,18406,18323,18601,18802,18655,17945,16741,15618,14534,13646,13296,13304,13236,13528,13907,14036,14018,14105,13811
"남구","계","50-54세",21753,21831,21591,21182,20074,19150,18213,17642,17530,17801,18006,17901,17294,16208,15180,14173,13360,13057,13067,13015,13325
"남구","계","55-59세",19224,18556,19414,19843,20249,20564,20630,20073,19568,18474,17637,16816,16359,16331,16658,16895,16836,16310,15331,14395,13470
"남구","계","60-64세",21956,21452,20631,19457,18515,17966,17539,18183,18454,18732,18961,18997,18502,18071,17087,16369,15655,15273,15289,15642,15892
"남구","계","65-69세",18815,19323,20152,20354,20785,20485,20205,19289,18216,17361,16871,16511,17158,17411,17684,17904,17948,17502,17114,16208,15569
"남구","계","70-74세",14598,14748,14919,15813,16719,17254,17890,18576,18759,19200,18982,18798,18015,17088,16353,15939,15650,16288,16533,16801,17020
"남구","계","75-79세",10563,10637,11265,11772,12405,12859,13159,13262,14094,14924,15424,16040,16724,16967,17459,17325,17234,16565,15785,15165,14823
"남구","계","80-84세",7140,7760,8097,8348,8203,8460,8613,9098,9538,10045,10456,10738,10876,11660,12406,12890,13464,14079,14366,14876,14819
"남구","계","85-89세",3058,3332,3685,4080,4355,4795,5306,5475,5621,5457,5673,5851,6250,6599,6933,7262,7502,7644,8310,8881,9282
"남구","계","90-94세",944,982,1104,1296,1492,1632,1792,1960,2153,2285,2523,2793,2859,2937,2823,2981,3124,3371,3580,3742,3961
"남구","계","95세이상",197,219,260,280,307,355,391,449,516,587,642,702,771,854,912,1008,1116,1137,1179,1130,1233
"북구","계","계",276072,272619,267464,263356,259863,256904,254397,252283,250228,248233,246277,244310,242337,240338,238302,236213,234066,231822,229519,227144,224693
"북구","계","0 - 4세",7249,6744,6142,5651,5288,5043,4903,4940,5057,5193,5299,5379,5435,5471,5495,5504,5494,5449,5373,5280,5172
"북구","계","5 - 9세",10190,9729,8862,7999,7094,6424,5878,5519,5144,4873,4698,4602,4646,4765,4896,4998,5078,5136,5177,5206,5222
"북구","계","10 - 14세",10561,10409,10158,10061,9860,9392,8909,8201,7467,6655,6055,5551,5216,4859,4612,4448,4361,4407,4519,4643,4743
"북구","계","15 - 19세",10522,10466,10082,9908,9952,10018,9839,9710,9683,9522,9092,8644,7971,7284,6506,5934,5447,5115,4760,4522,4367
"북구","계","20-24세",15353,13517,12389,11366,10381,10036,10074,9889,9867,9998,10118,9973,9896,9901,9732,9307,8865,8201,7537,6778,6227
"북구","계","25-29세",18413,17455,16353,15125,14227,13120,12117,11526,10775,10001,9792,9833,9653,9654,9803,9932,9790,9748,9761,9588,9184
"북구","계","30-34세",17009,17512,17345,17178,17011,16336,15725,15129,14458,13987,13120,12314,11767,10975,10214,10011,10019,9844,9854,10015,10138
"북구","계","35-39세",16077,15424,14957,15030,15119,15555,15869,15990,16009,15983,15496,15049,14544,14022,13638,12809,12072,11527,10743,10024,9843
"북구","계","40-44세",18861,18681,17892,16705,15601,14628,14014,13791,13930,14033,14451,14753,14892,14935,14934,14528,14155,13703,13266,12927,12145
"북구","계","45-49세",19423,18248,17507,17328,17451,17714,17553,17068,16096,15145,14253,13648,13395,13490,13555,13930,14220,14376,14437,14466,14110
"북구","계","50-54세",24435,23703,22193,21030,19730,18640,17646,17184,17150,17408,17771,17697,17274,16332,15389,14485,13849,13567,13633,13675,14036
"북구","계","55-59세",26048,24995,25248,24703,24179,23442,22878,21711,20818,19698,18742,17846,17424,17431,17745,18157,18127,17736,16809,15851,14923
"북구","계","60-64세",28090,28734,27775,26797,25194,24615,23713,24124,23783,23466,22940,22547,21532,20757,19724,18827,17991,17597,17633,17999,18438
"북구","계","65-69세",20584,21907,23492,24466,26100,26436,27015,26174,25330,23913,23476,22711,23216,22984,22789,22401,22121,21228,20548,19576,18730
"북구","계","70-74세",13730,14371,15030,16460,18042,19203,20403,21907,22838,24390,24713,25276,24499,23766,22507,22163,21507,22066,21917,21817,21526
"북구","계","75-79세",9032,9334,10129,11011,11774,12512,13132,13743,15074,16518,17587,18702,20085,20963,22417,22726,23267,22558,21933,20835,20586
