"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"서구","계","0 - 4세",1951,1964,1753,1602,1485,1421,1392,1425,1476,1539,1592,1637,1671,1698,1716,1729,1732,1724,1705,1677,1643
"서구","계","5 - 9세",3043,2991,2771,2497,2258,2022,1898,1741,1636,1545,1494,1471,1498,1545,1604,1656,1698,1728,1752,1765,1775
"서구","계","10 - 14세",3345,3336,3297,3346,3214,3115,2948,2779,2530,2301,2072,1946,1782,1678,1585,1532,1505,1534,1576,1632,1680
"서구","계","15 - 19세",3799,3566,3480,3425,3535,3606,3546,3507,3563,3436,3338,3158,2971,2714,2471,2229,2089,1909,1801,1703,1649
"서구","계","20-24세",6617,6632,6393,5778,5221,4992,4768,4747,4719,4848,4910,4844,4824,4869,4722,4597,4357,4120,3800,3474,3177
"서구","계","25-29세",6747,6764,6620,6572,6413,6012,5772,5422,4978,4625,4516,4421,4449,4392,4520,4550,4490,4480,4492,4357,4235
"서구","계","30-34세",5355,5702,5778,5661,5659,5527,5393,5240,5203,5042,4731,4546,4254,3947,3688,3627,3570,3586,3524,3645,3647
"서구","계","35-39세",5254,5119,4903,4844,4799,4860,4981,5071,5066,5122,5015,4902,4759,4711,4552,4290,4111,3852,3595,3352,3298
"서구","계","40-44세",6730,6889,6654,6105,5574,5194,4890,4741,4762,4762,4866,5003,5087,5089,5143,5035,4931,4787,4731,4567,4316
"서구","계","45-49세",6921,6627,6408,6440,6656,6738,6750,6578,6142,5706,5362,5058,4913,4920,4910,5017,5153,5235,5244,5297,5190
"서구","계","50-54세",8141,8296,8071,7810,7327,7026,6677,6481,6520,6735,6826,6862,6701,6286,5867,5517,5208,5064,5069,5058,5168
"서구","계","55-59세",8185,8003,8110,8149,8278,8261,8284,8061,7816,7367,7085,6746,6566,6610,6822,6919,6965,6808,6404,5994,5639
"서구","계","60-64세",9930,9938,9507,9008,8376,8192,7882,8062,8103,8220,8210,8242,8025,7798,7373,7107,6781,6609,6658,6866,6969
"서구","계","65-69세",8710,8987,9348,9436,9813,9688,9683,9261,8822,8250,8098,7817,8021,8077,8196,8194,8232,8021,7807,7402,7148
"서구","계","70-74세",6989,7057,7214,7654,8038,8300,8592,8972,9098,9493,9402,9425,9043,8642,8123,7997,7747,7962,8033,8155,8165
"서구","계","75-79세",5148,5303,5456,5730,6066,6255,6353,6531,6978,7369,7653,7957,8340,8501,8903,8847,8890,8553,8200,7748,7645
"서구","계","80-84세",3952,4198,4245,4225,4054,4112,4271,4435,4697,4985,5179,5295,5466,5885,6245,6525,6805,7161,7345,7725,7702
"서구","계","85-89세",1837,1930,2107,2281,2406,2591,2763,2804,2812,2705,2781,2935,3078,3287,3477,3634,3751,3890,4234,4515,4746
"서구","계","90-94세",603,632,674,746,814,893,953,1059,1156,1220,1332,1425,1449,1457,1394,1461,1569,1657,1782,1873,1973
"서구","계","95세이상",128,149,159,173,187,218,238,257,284,311,346,370,412,447,475,527,566,582,591,569,614
"동구","계","계",86511,85907,86246,86759,86995,87014,86866,86574,86252,85906,85520,85095,84649,84169,83668,83141,82575,81964,81317,80646,79923
"동구","계","0 - 4세",1789,1792,1767,1758,1684,1637,1628,1650,1708,1764,1809,1842,1865,1881,1888,1893,1889,1873,1847,1816,1776
"동구","계","5 - 9세",2117,2069,1992,1866,1787,1701,1655,1603,1546,1457,1407,1389,1405,1455,1502,1544,1572,1595,1610,1619,1622
"동구","계","10 - 14세",2189,2133,2149,2179,2203,2153,2083,1980,1840,1735,1625,1563,1496,1432,1344,1302,1285,1298,1343,1385,1422
"동구","계","15 - 19세",2464,2483,2366,2393,2433,2449,2409,2420,2435,2444,2372,2282,2164,2010,1874,1737,1655,1565,1486,1393,1352
"동구","계","20-24세",3982,3546,3528,3261,3039,2999,3028,2928,2956,2986,3018,2988,2993,3005,2995,2898,2781,2629,2444,2261,2087
"동구","계","25-29세",6071,5748,5601,5534,5365,5090,4802,4611,4247,3963,3863,3841,3747,3781,3808,3865,3828,3824,3831,3785,3643
"동구","계","30-34세",5703,5998,6309,6516,6640,6572,6331,6093,5930,5719,5416,5103,4877,4492,4214,4109,4092,4022,4047,4080,4149
