시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
군산시,계,계,266749,265143,263672,261704,259742,257815,255945,254093,252264,250486,248723,246958,245187,243405,241617,239817,238014,236195,234356,232482,230577
군산시,계,0 - 4세,7020,6362,5945,5590,5291,5123,5033,5057,5153,5280,5386,5471,5537,5580,5602,5603,5581,5524,5437,5330,5202
군산시,계,5 - 9세,11612,10726,9808,8692,7733,7022,6377,5943,5586,5293,5137,5058,5089,5188,5326,5442,5536,5609,5658,5683,5690
군산시,계,10 - 14세,12890,12843,12672,12583,12082,11315,10484,9553,8486,7574,6887,6266,5855,5504,5218,5075,5004,5041,5146,5284,5404
군산시,계,15 - 19세,12815,12471,12284,12276,12487,12514,12414,12158,12054,11540,10813,10031,9172,8188,7357,6721,6145,5770,5430,5158,5022
군산시,계,20-24세,16555,15808,14679,13397,12354,11929,11646,11514,11461,11621,11623,11510,11281,11208,10745,10132,9492,8791,8007,7348,6819
군산시,계,25-29세,15038,15051,15205,15084,14785,13998,13321,12448,11492,10701,10397,10205,10102,10023,10174,10179,10078,9899,9878,9504,9070
군산시,계,30-34세,13664,14026,14196,14399,14565,14543,14321,14250,14045,13741,13040,12438,11682,10893,10180,9904,9750,9654,9568,9730,9736
군산시,계,35-39세,16148,14886,14271,13928,13630,13714,14006,14143,14403,14595,14572,14351,14232,13984,13679,13002,12406,11685,10936,10218,9946
군산시,계,40-44세,20697,20564,20137,18937,17646,16187,14995,14382,14118,13899,14044,14380,14563,14847,15039,15004,14770,14625,14348,14040,13358
군산시,계,45-49세,21668,20905,20095,20004,20311,20676,20595,20116,18946,17711,16334,15231,14682,14462,14286,14470,14842,15056,15354,15542,15502
군산시,계,50-54세,23335,23857,23853,23598,22509,21686,20933,20050,19953,20245,20599,20531,20085,18968,17796,16493,15457,14951,14766,14635,14849
군산시,계,55-59세,20692,20427,21354,21854,22676,23231,23707,23617,23289,22188,21383,20634,19793,19735,20040,20393,20344,19933,18867,17754,16511
군산시,계,60-64세,21682,22095,21756,21134,20509,20541,20281,21232,21718,22502,23019,23457,23340,22993,21931,21158,20428,19615,19587,19907,20273
군산시,계,65-69세,16801,18044,19030,19787,21029,21255,21698,21383,20799,20209,20238,19997,20931,21393,22129,22615,23030,22898,22551,21520,20777
군산시,계,70-74세,13283,13236,13782,14538,15210,16029,17256,18276,19082,20324,20575,21020,20723,20181,19639,19672,19452,20372,20820,21535,21999
군산시,계,75-79세,9892,10152,10561,11363,12047,12118,12131,12672,13440,14137,14962,16121,17089,17896,19078,19331,19767,19489,19010,18541,18591
군산시,계,80-84세,7251,7692,7684,7823,7849,8199,8466,8824,9510,10067,10174,10227,10708,11428,12072,12817,13815,14662,15432,16492,16723
군산시,계,85-89세,3896,4058,4278,4412,4547,5085,5453,5455,5549,5534,5842,6071,6320,6841,7221,7343,7406,7780,8386,8909,9505
군산시,계,90-94세,1503,1586,1686,1855,1978,2075,2189,2332,2417,2504,2824,3030,3010,3047,3016,3236,3393,3528,3844,4034,4142
군산시,계,95세이상,307,354,396,450,504,575,639,688,763,821,874,929,993,1046,1089,1227,1318,1313,1331,1318,1458
익산시,계,계,278217,275062,272023,268392,265018,261945,259121,256492,254008,251662,249420,247235,245107,243019,240966,238917,236891,234827,232745,230655,228542
익산시,계,0 - 4세,6206,5613,5125,4828,4597,4567,4526,4572,4670,4795,4896,4976,5035,5071,5088,5087,5066,5010,4928,4830,4713
익산시,계,5 - 9세,10247,9452,8756,7809,6869,6070,5528,5040,4759,4527,4484,4433,4476,4575,4707,4812,4899,4963,5007,5026,5029
익산시,계,10 - 14세,12418,12061,11692,11430,10892,10039,9248,8599,7695,6813,6058,5543,5070,4794,4563,4514,4459,4501,4603,4736,4849
익산시,계,15 - 19세,14610,13815,13043,12582,12539,12581,12239,11898,11672,11141,10326,9583,8941,8041,7165,6419,5901,5429,5146,4900,4827
익산시,계,20-24세,21057,19840,18157,16323,14815,14009,13508,13076,12816,12909,13014,12714,12445,12254,11783,11091,10444,9814,8932,8112,7426
익산시,계,25-29세,17770,18003,17961,17499,16865,15889,14818,13917,12844,11947,11528,11311,11062,10921,11085,11173,10912,10752,10649,10301,9792
익산시,계,30-34세,13474,14038,14619,15004,15176,15074,14937,14614,14272,13834,13115,12320,11671,10841,10139,9852,9721,9536,9455,9626,9677
익산시,계,35-39세,14248,13337,12819,12679,12576,12768,13194,13485,13796,13927,13838,13701,13393,13115,12746,12121,11417,10854,10101,9460,9212
익산시,계,40-44세,18046,17609,17133,16109,15158,14145,13286,12714,12586,12478,12670,13085,13372,13673,13805,13741,13604,13301,13045,12702,12101
익산시,계,45-49세,20980,19914,18796,18249,18068,17984,17651,17260,16292,15389,14412,13576,13032,12929,12838,13048,13482,13789,14102,14238,14192
익산시,계,50-54세,23944,24015,23564,23044,22019,21025,20019,18890,18410,18301,18292,18043,17704,16766,15881,14907,14082,13553,13471,13404,13638
익산시,계,55-59세,23419,22735,23717,23662,23786,23692,23933,23429,22944,21947,20990,20034,18984,18603,18586,18647,18465,18166,17245,16366,15390
익산시,계,60-64세,23894,24529,24046,23442,22581,22810,22206,23213,23192,23382,23366,23648,23187,22736,21775,20862,19964,18978,18676,18734,18864
