시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
수원시,계,85-89세,9460,10099,10999,11598,12350,13387,14298,14715,15204,15074,15943,16843,17826,18992,19724,20917,22074,23409,26268,29091,31304
수원시,계,90-94세,3211,3380,3672,4146,4621,5126,5546,6059,6399,6836,7468,8030,8270,8520,8404,9008,9610,10215,10930,11290,12108
수원시,계,95세이상,737,825,928,1033,1129,1247,1389,1533,1736,1931,2155,2338,2564,2746,2962,3271,3528,3660,3774,3757,4118
성남시,계,계,908340,906373,905838,903724,901131,898195,896317,894153,892073,890049,888059,886045,883978,881856,879648,877305,874764,871940,868843,865445,861757
성남시,계,0 - 4세,26209,25165,23536,21978,20681,19785,19579,19948,20781,21799,22754,23606,24322,24894,25334,25656,25813,25762,25545,25204,24773
성남시,계,5 - 9세,36349,34634,32955,30753,28507,26727,25139,23445,21973,20767,19980,19824,20211,21047,22046,22980,23803,24498,25052,25487,25804
성남시,계,10 - 14세,40066,39493,39162,39267,38481,37297,35482,33761,31407,29016,27124,25440,23729,22264,21082,20333,20213,20614,21457,22458,23389
성남시,계,15 - 19세,40096,39734,39082,38971,39889,39602,39151,38891,39001,38256,37091,35253,33513,31157,28774,26869,25179,23494,22071,20932,20239
성남시,계,20-24세,52132,49618,47650,44910,42134,41359,41076,40615,40353,41180,40960,40621,40405,40554,39808,38592,36719,34995,32653,30232,28257
성남시,계,25-29세,67191,65573,64280,63499,62075,59548,57137,54721,51554,48424,47395,47046,46595,46325,47229,47162,46937,46678,46779,45926,44533
성남시,계,30-34세,66162,68127,70033,70854,71633,70908,70320,69060,68322,66851,64282,61442,58749,55435,52124,50953,50636,50195,49890,50843,50879
성남시,계,35-39세,65175,63951,63617,64132,64663,66475,68285,69921,70949,71996,71517,70856,69554,68746,67223,64621,61632,58903,55612,52292,51103
성남시,계,40-44세,73038,73860,73379,70957,68308,65559,63544,62676,63062,63550,65410,67263,68974,70028,71103,70613,69933,68627,67796,66268,63686
성남시,계,45-49세,74626,71481,69287,69447,70861,72118,73085,72518,69940,67200,64407,62267,61385,61764,62241,64097,65981,67693,68733,69794,69293
성남시,계,50-54세,82913,82929,81050,78478,74318,71200,68494,66595,66950,68468,69803,70754,70137,67565,64873,62124,60007,59166,59548,60010,61830
성남시,계,55-59세,72270,70934,73180,74110,75911,77313,77566,76009,73858,70236,67597,65190,63541,64055,65610,66961,67910,67274,64763,62165,59492
성남시,계,60-64세,71191,72297,71540,70139,67821,67306,66286,68607,69657,71521,73005,73396,72112,70270,67028,64710,62515,61042,61653,63222,64596
성남시,계,65-69세,50932,54475,58404,61038,64742,65575,66831,66035,64983,63087,62911,62159,64603,65704,67576,69064,69560,68489,66881,63936,61857
성남시,계,70-74세,33983,35203,36561,39994,43864,46684,49989,53562,56099,59693,60592,61976,61347,60542,58939,58943,58386,60874,61999,63863,65348
성남시,계,75-79세,25076,25994,27492,28801,29699,30530,31705,32940,36156,39681,42284,45344,48657,51078,54509,55415,56855,56349,55757,54430,54577
성남시,계,80-84세,17794,18937,19330,19896,19847,20880,21792,22967,24097,24848,25699,26800,27960,30876,33905,36198,38896,41802,44059,47179,48022
성남시,계,85-89세,9093,9641,10543,11174,11812,12862,13833,14149,14585,14527,15413,16177,17105,18011,18567,19367,20315,21306,23697,26026,27881
성남시,계,90-94세,3242,3447,3774,4202,4649,5119,5519,6070,6467,6864,7537,8143,8336,8593,8524,9157,9698,10284,10875,11169,11789
성남시,계,95세이상,802,880,983,1124,1236,1348,1504,1663,1879,2085,2298,2488,2743,2948,3153,3490,3776,3895,4023,4009,4409
의정부시,계,계,454667,456212,455567,457605,459767,462018,464960,467978,470745,473306,475666,477813,479739,481430,482874,484067,484977,485546,485821,485786,485458
의정부시,계,0 - 4세,13261,12853,11884,11203,10611,10346,10307,10570,11046,11593,12091,12525,12892,13191,13427,13610,13713,13712,13626,13462,13239
