시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
경주시,계,계,259525,259034,256692,254756,253125,251747,250564,249509,248512,247559,246624,245678,244701,243685,242657,241574,240436,239254,238007,236698,235329
경주시,계,0 - 4세,6274,5871,5390,5118,4886,4748,4626,4599,4688,4787,4865,4921,4955,4965,4965,4952,4922,4861,4786,4697,4601
경주시,계,5 - 9세,8992,8447,7812,7133,6472,5857,5524,5196,4928,4706,4580,4475,4459,4553,4659,4739,4797,4838,4854,4852,4843
경주시,계,10 - 14세,9952,9661,9503,9387,9103,8733,8230,7669,7015,6374,5780,5456,5129,4866,4642,4523,4432,4429,4529,4638,4721
경주시,계,15 - 19세,10660,10578,10071,9946,9841,9768,9564,9527,9434,9166,8817,8326,7780,7153,6519,5938,5612,5283,5018,4794,4675
경주시,계,20-24세,14954,13906,12720,11266,10405,10109,10011,9746,9730,9717,9766,9619,9597,9510,9288,8986,8518,8013,7442,6856,6356
경주시,계,25-29세,14498,14641,14508,14021,13354,12329,11319,10649,9807,9287,9076,9014,8806,8824,8865,8945,8817,8819,8760,8593,8324
경주시,계,30-34세,13723,14225,14160,14020,13860,13652,13437,13018,12683,12206,11431,10677,10161,9420,8923,8686,8636,8461,8487,8540,8638
경주시,계,35-39세,14379,13736,13373,13315,13239,13328,13494,13557,13510,13463,13307,13084,12685,12397,11972,11274,10594,10106,9389,8875,8622
경주시,계,40-44세,17362,17437,17022,16091,15240,14306,13443,13161,13123,13079,13221,13450,13568,13576,13586,13454,13224,12832,12566,12160,11486
경주시,계,45-49세,19189,18248,17224,17119,17319,17670,17799,17440,16544,15694,14747,13898,13611,13573,13537,13709,13988,14148,14194,14245,14129
경주시,계,50-54세,23190,23028,22600,22025,20971,19878,18980,18070,18002,18234,18624,18767,18430,17534,16649,15664,14790,14483,14443,14421,14617
경주시,계,55-59세,23073,22769,23376,23493,23595,23881,23792,23441,22867,21824,20748,19863,18976,18940,19207,19633,19795,19461,18558,17636,16607
경주시,계,60-64세,23971,24729,24480,24119,23689,23504,23220,23929,24123,24294,24614,24554,24206,23625,22589,21521,20642,19776,19769,20078,20541
경주시,계,65-69세,19045,19986,21156,22134,23342,23972,24713,24584,24224,23789,23613,23372,24108,24336,24540,24879,24835,24498,23909,22890,21850
경주시,계,70-74세,14464,15033,15385,16337,17567,18403,19357,20620,21643,22885,23530,24256,24131,23792,23375,23213,23011,23767,24034,24265,24618
경주시,계,75-79세,10246,10280,10944,11726,12720,13407,13988,14316,15256,16447,17274,18215,19433,20443,21665,22300,23008,22908,22611,22249,22120
경주시,계,80-84세,8811,9316,9225,9192,8720,8634,8783,9408,10111,10939,11563,12110,12436,13324,14409,15175,16050,17153,18119,19273,19872
경주시,계,85-89세,4842,5033,5375,5672,5866,6339,6789,6762,6740,6360,6367,6568,7086,7640,8235,8745,9208,9504,10262,11141,11779
경주시,계,90-94세,1585,1766,1955,2190,2430,2636,2809,3038,3210,3329,3625,3894,3875,3861,3610,3678,3876,4224,4583,4901,5239
경주시,계,95세이상,315,344,413,452,506,593,686,779,874,979,1076,1159,1269,1353,1422,1560,1681,1690,1694,1594,1691
김천시,계,계,137900,137315,135786,134723,133962,133519,133289,133246,133132,132973,132745,132452,132071,131648,131171,130662,130126,129548,128950,128338,127694
김천시,계,0 - 4세,4075,3753,3364,3177,3022,2944,2892,2888,2917,2958,2984,3004,3013,3014,3011,3007,2994,2969,2934,2890,2838
김천시,계,5 - 9세,5459,5151,4784,4386,3942,3568,3262,3002,2853,2724,2664,2619,2624,2662,2707,2738,2763,2778,2784,2790,2793
김천시,계,10 - 14세,5735,5714,5682,5664,5546,5388,5123,4833,4442,4000,3623,3314,3052,2898,2764,2700,2654,2656,2696,2747,2786
김천시,계,15 - 19세,5926,6165,6124,6096,6233,6359,6479,6609,6664,6572,6396,6073,5718,5243,4718,4284,3935,3644,3457,3289,3202
김천시,계,20-24세,6870,6160,5834,5486,5231,5207,5430,5383,5460,5650,5764,5824,5859,5855,5745,5560,5259,4966,4558,4142,3823
김천시,계,25-29세,7162,6935,6699,6425,6143,5781,5325,5199,4933,4686,4628,4740,4610,4666,4783,4828,4827,4810,4800,4713,4551
김천시,계,30-34세,7091,7402,7323,7209,7174,6977,6807,6626,6484,6296,5987,5598,5444,5096,4810,4721,4788,4648,4697,4776,4809
김천시,계,35-39세,7649,7236,6949,6808,6670,6805,6926,6992,7003,7059,6925,6796,6616,6486,6309,6001,5633,5467,5097,4808,4707
김천시,계,40-44세,9289,9264,9007,8525,8001,7379,6981,6789,6724,6648,6811,6950,7032,7060,7125,7001,6873,6695,6571,6400,6094
김천시,계,45-49세,9466,9164,8798,8767,8958,9179,9109,8987,8572,8101,7530,7159,6963,6904,6836,7002,7146,7243,7283,7361,7237
김천시,계,50-54세,11253,11145,10755,10472,9973,9598,9284,8989,9018,9248,9488,9449,9342,8922,8442,7873,7496,7292,7238,7173,7339
김천시,계,55-59세,11577,11372,11639,11631,11681,11564,11560,11290,11076,10618,10258,9934,9617,9644,9877,10118,10099,10003,9559,9056,8472
김천시,계,60-64세,12690,13119,12865,12302,11863,11810,11663,12103,12217,12359,12324,12366,12105,11880,11406,11028,10678,10342,10371,10617,10870
김천시,계,65-69세,10298,10575,11061,11787,12512,12733,13135,13001,12555,12212,12203,12094,12550,12692,12854,12852,12906,12653,12419,11934,11548
김천시,계,70-74세,7912,8238,8470,8988,9682,10052,10390,10941,11678,12421,12681,13104,12996,12597,12284,12282,12194,12661,12822,13000,13020
김천시,계,75-79세,5696,5748,5960,6463,6852,7343,7672,7940,8455,9131,9517,9872,10432,11171,11903,12189,12610,12520,12174,11909,11922
김천시,계,80-84세,5316,5454,5415,5158,4777,4817,4909,5151,5602,5941,6400,6712,6968,7452,8061,8438,8789,9323,10026,10714,11000
김천시,계,85-89세,3163,3312,3509,3626,3730,3884,4040,4039,3849,3569,3634,3751,3972,4323,4565,4946,5208,5428,5845,6332,6677
김천시,계,90-94세,1049,1155,1260,1440,1612,1731,1843,1975,2050,2124,2223,2335,2340,2218,2059,2132,2249,2410,2620,2743,3001
김천시,계,95세이상,224,253,288,313,360,400,459,509,580,656,705,758,818,865,912,962,1025,1040,999,944,1005
안동시,계,계,156743,154970,155192,154646,153782,152728,151534,150214,148993,147876,146801,145781,144785,143821,142836,141833,140807,139762,138682,137584,136439
안동시,계,0 - 4세,3867,3535,3269,3054,2982,2908,2897,2934,3012,3103,3179,3233,3269,3293,3302,3304,3289,3258,3209,3150,3084
안동시,계,5 - 9세,5620,5207,4816,4490,4015,3678,3437,3189,2969,2885,2803,2787,2820,2888,2975,3044,3096,3131,3156,3168,3172
안동시,계,10 - 14세,6353,6249,6154,6076,5924,5630,5238,4910,4585,4113,3775,3530,3277,3054,2966,2883,2861,2888,2958,3048,3120
안동시,계,15 - 19세,7613,7017,7001,6766,6561,6594,6487,6396,6350,6221,5933,5545,5222,4889,4394,4042,3777,3507,3279,3180,3080
안동시,계,20-24세,9559,9431,9841,9492,9020,8552,8148,7654,7222,7029,7065,6954,6911,6854,6700,6404,6030,5705,5329,4811,4465
안동시,계,25-29세,8160,8120,8309,8491,8634,8355,8100,7762,7275,6788,6445,6287,6073,5903,5923,6012,5904,5876,5831,5713,5467
안동시,계,30-34세,7028,7144,7412,7606,7715,7779,7678,7565,7548,7511,7168,6900,6593,6180,5770,5549,5500,5351,5266,5331,5409
안동시,계,35-39세,7634,7103,6861,6865,6877,6948,7140,7301,7414,7478,7494,7360,7230,7177,7097,6752,6489,6198,5806,5422,5244
안동시,계,40-44세,9705,9547,9335,8733,8254,7700,7265,7046,7052,7054,7119,7307,7454,7555,7614,7618,7468,7333,7262,7158,6804
안동시,계,45-49세,11237,10758,10222,10035,9837,9934,9844,9661,9058,8577,8012,7576,7364,7373,7378,7445,7642,7797,7891,7958,7946
안동시,계,50-54세,12794,12795,12493,12195,11820,11405,10935,10378,10210,10059,10199,10134,9969,9377,8896,8331,7894,7677,7692,7692,7766
안동시,계,55-59세,12450,12177,12734,12941,13064,13056,13048,12723,12389,11979,11545,11081,10552,10429,10332,10508,10467,10316,9729,9245,8678
안동시,계,60-64세,14417,14536,14181,13543,12760,12681,12488,13004,13185,13293,13291,13299,12995,12672,12259,11820,11364,10852,10755,10699,10911
안동시,계,65-69세,12003,12251,12787,13516,14464,14388,14565,14275,13679,12946,12880,12695,13205,13393,13513,13536,13561,13272,12951,12534,12088
안동시,계,70-74세,9217,9722,9814,10438,11278,11672,11970,12532,13250,14171,14131,14345,14085,13543,12870,12824,12657,13171,13364,13498,13538
안동시,계,75-79세,7329,6950,7265,7577,7993,8453,8981,9111,9721,10511,10903,11205,11772,12484,13372,13372,13606,13376,12903,12319,12299
안동시,계,80-84세,6548,7010,6871,6590,6047,6054,5839,6160,6447,6791,7232,7724,7863,8432,9117,9496,9799,10322,10991,11810,11843
안동시,계,85-89세,3669,3758,4020,4198,4317,4567,4947,4883,4696,4305,4361,4279,4562,4792,5021,5406,5808,5943,6409,6926,7262
안동시,계,90-94세,1258,1356,1462,1661,1805,1902,1999,2151,2269,2343,2500,2726,2685,2586,2352,2429,2439,2639,2777,2887,3156
안동시,계,95세이상,282,304,345,379,415,472,528,579,662,719,766,814,884,947,985,1058,1156,1150,1124,1035,1107
구미시,계,계,410610,408278,408151,406242,404003,401568,398984,396235,393512,390746,387958,385139,382267,379336,376385,373420,370410,367368,364278,361159,357992
구미시,계,0 - 4세,14528,12884,11719,10873,10245,9947,9864,9882,9938,10077,10186,10265,10310,10330,10328,10311,10261,10166,10027,9860,9668
구미시,계,5 - 9세,22375,20935,19555,17622,15645,13984,12536,11428,10637,10048,9773,9698,9734,9817,9983,10115,10217,10284,10323,10339,10336
구미시,계,10 - 14세,22694,22501,22606,22771,22294,21218,19967,18584,16760,14898,13346,12004,10977,10239,9687,9444,9379,9423,9523,9707,9850
구미시,계,15 - 19세,20856,21330,20567,20643,21105,21400,21185,21179,21262,20755,19731,18580,17281,15580,13884,12475,11266,10350,9686,9193,8992
구미시,계,20-24세,24872,23374,22844,20844,19332,18900,19123,18412,18632,18993,19241,19032,18984,18977,18490,17606,16590,15452,14039,12665,11510
구미시,계,25-29세,28451,27571,26843,26357,25540,24205,22521,21765,19907,18665,18254,18359,17731,17958,18194,18375,18136,18096,18087,17641,16898
구미시,계,30-34세,29467,29513,29935,30134,30402,29521,28761,27752,27203,26356,25063,23490,22700,20882,19701,19213,19273,18691,18897,19094,19279
구미시,계,35-39세,33570,31720,30904,30218,29223,29375,29661,30010,30142,30366,29556,28880,27937,27432,26613,25341,23810,22996,21194,20035,19512
