시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
서귀포시,계,계,180295,180886,180319,181115,181786,182359,182824,183180,183467,183692,183877,184005,184094,184140,184156,184165,184125,184041,183913,183735,183509
서귀포시,계,0 - 4세,5535,5013,4598,4228,3974,3831,3770,3789,3856,3957,4049,4129,4196,4249,4286,4313,4319,4302,4269,4219,4150
서귀포시,계,5 - 9세,8799,8418,7972,7528,6950,6337,5838,5367,4955,4674,4510,4446,4473,4570,4710,4832,4940,5028,5092,5140,5170
서귀포시,계,10 - 14세,9373,9181,9130,9275,9184,8991,8692,8297,7732,7081,6458,5968,5515,5119,4853,4698,4645,4690,4804,4953,5085
서귀포시,계,15 - 19세,7117,7925,8282,8461,8768,8913,8764,8785,8853,8701,8472,8150,7750,7200,6590,6031,5603,5197,4849,4616,4478
서귀포시,계,20-24세,7385,6521,6203,6151,6104,6406,6964,6933,6979,7167,7237,7113,7131,7145,7001,6804,6505,6164,5726,5261,4854
서귀포시,계,25-29세,9936,9651,8986,8474,7991,7447,6878,6754,6485,6228,6275,6495,6322,6375,6508,6549,6441,6462,6454,6328,6144
서귀포시,계,30-34세,9529,9862,9872,9882,10015,9877,9512,9140,8848,8507,8063,7573,7387,6987,6640,6586,6693,6511,6568,6668,6711
서귀포시,계,35-39세,11329,10684,10170,10078,9998,10089,10407,10673,10806,11022,10921,10615,10312,10063,9743,9296,8791,8526,8029,7598,7457
서귀포시,계,40-44세,14581,14844,14553,14007,13261,12418,11739,11399,11348,11327,11513,11921,12236,12408,12643,12537,12246,11950,11697,11365,10877
서귀포시,계,45-49세,14893,14476,14154,14489,14973,15516,15787,15585,14940,14136,13293,12621,12307,12286,12298,12548,13009,13348,13543,13785,13673
서귀포시,계,50-54세,16228,16530,16309,16136,15643,15255,14874,14654,14936,15382,15882,16117,15914,15273,14490,13673,13022,12727,12726,12758,13046
서귀포시,계,55-59세,14815,14880,15436,15784,16235,16746,17005,16902,16710,16191,15757,15333,15061,15307,15736,16228,16458,16261,15623,14843,14038
서귀포시,계,60-64세,14633,15239,15370,15281,15245,15269,15292,15910,16295,16747,17253,17504,17393,17168,16614,16141,15690,15396,15629,16058,16544
서귀포시,계,65-69세,11060,11832,12754,13437,14191,14627,15223,15365,15255,15208,15220,15242,15854,16244,16685,17175,17412,17299,17065,16501,16021
서귀포시,계,70-74세,8353,8413,8333,9193,10012,10804,11572,12504,13169,13924,14362,14928,15041,14926,14874,14882,14912,15513,15908,16342,16819
서귀포시,계,75-79세,6718,6934,7342,7426,7658,7725,7845,7865,8709,9495,10247,10984,11874,12527,13265,13701,14243,14345,14248,14215,14232
서귀포시,계,80-84세,5464,5648,5644,5708,5619,5722,5956,6323,6422,6642,6730,6872,6935,7708,8424,9101,9773,10582,11190,11882,12295
서귀포시,계,85-89세,3205,3303,3475,3597,3801,4060,4217,4245,4297,4233,4344,4552,4850,4937,5110,5204,5355,5443,6098,6696,7246
서귀포시,계,90-94세,1061,1238,1417,1606,1743,1830,1906,2028,2116,2250,2417,2511,2532,2571,2533,2629,2779,2975,3038,3146,3224
서귀포시,계,95세이상,281,294,319,374,421,496,583,662,756,820,874,931,1011,1077,1153,1237,1289,1322,1357,1361,1445
