시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
충주시,계,5 - 9세,8446,7828,7687,7343,6663,6092,5696,5231,5034,4924,4934,5039,5227,5446,5653,5827,5969,6080,6160
충주시,계,10 - 14세,8848,8813,8744,8753,8680,8753,8081,7902,7493,6790,6225,5830,5370,5176,5067,5085,5191,5388,5613
충주시,계,15 - 19세,8730,8996,8830,8552,8924,9008,8941,8856,8841,8749,8767,8080,7911,7455,6748,6200,5814,5373,5195
충주시,계,20 - 24세,15129,13270,12066,11042,9470,8886,9229,9070,8863,9230,9250,9193,9159,9128,9009,8975,8287,8142,7627
충주시,계,25 - 29세,16176,16103,15610,15005,14483,13275,12053,11287,10497,9286,9007,9332,9111,8983,9347,9305,9293,9245,9189
충주시,계,30 - 34세,11876,12646,13243,13631,14536,14633,14502,14116,13713,13337,12340,11433,10839,10124,9092,8959,9192,8940,8902
충주시,계,35 - 39세,12917,11943,11545,11840,11587,12201,12830,13311,13625,14358,14310,14156,13803,13472,13124,12221,11427,10865,10149
충주시,계,40 - 44세,13821,14236,14872,14425,13785,13248,12319,11991,12255,12008,12607,13152,13585,13868,14509,14390,14231,13886,13591
충주시,계,45 - 49세,15902,15567,14177,14015,14231,14693,15047,15537,14977,14298,13714,12790,12490,12722,12487,13086,13596,14006,14266
충주시,계,50 - 54세,17992,18732,18405,17954,17680,16584,16267,14954,14901,15142,15619,15957,16363,15723,15018,14386,13459,13180,13384
충주시,계,55 - 59세,18384,16684,18163,18411,18412,18939,19620,19267,18825,18516,17429,17127,15874,15910,16184,16686,17021,17356,16663
충주시,계,60 - 64세,18980,20104,19588,19568,18675,19109,17563,19119,19358,19429,19998,20643,20282,19859,19514,18417,18108,16896,17007
충주시,계,65 - 69세,13597,14851,16149,17168,18995,19235,20342,19840,19836,18994,19409,18002,19603,19824,19957,20552,21150,20793,20377
충주시,계,70 - 74세,9283,9940,10401,11387,12698,13342,14604,15887,16921,18694,18948,20024,19531,19554,18767,19167,17896,19492,19695
충주시,계,75 - 79세,8007,7526,7644,7787,8379,8846,9466,9916,10875,12125,12771,13998,15219,16221,17916,18168,19209,18748,18789
충주시,계,80 - 84세,6603,7258,7182,7176,6692,6858,6557,6731,6907,7409,7855,8418,8812,9695,10816,11417,12551,13638,14563
충주시,계,85 - 89세,3782,4028,4324,4580,4678,4776,5305,5266,5291,4937,5085,4958,5153,5327,5693,6084,6531,6841,7561
충주시,계,90 - 94세,1218,1352,1551,1720,1921,2130,2273,2465,2606,2677,2767,3092,3069,3099,2882,3001,3003,3154,3295
충주시,계,95세 이상,301,340,385,400,470,517,582,673,737,834,920,986,1086,1151,1201,1271,1422,1430,1451
제천시,계,계,133755,133210,132610,132019,131485,130999,130606,130293,130061,129866,129698,129565,129433,129289,129119,128905,128624,128285,127881
제천시,계,0 - 4세,3204,2929,2755,2625,2545,2526,2581,2679,2796,2902,2996,3076,3140,3188,3213,3209,3172,3113,3037
제천시,계,5 - 9세,4705,4419,4058,3797,3457,3207,2941,2777,2643,2566,2554,2610,2708,2823,2929,3027,3109,3174,3226
제천시,계,10 - 14세,5370,5225,5164,5029,4911,4732,4476,4142,3892,3546,3282,3010,2842,2704,2624,2611,2670,2768,2887
제천시,계,15 - 19세,5960,6033,5869,5739,5742,5731,5569,5512,5400,5297,5111,4843,4505,4243,3868,3581,3294,3115,2959
제천시,계,20 - 24세,10269,9473,8799,8112,7095,6738,6660,6427,6301,6326,6326,6191,6177,6072,5971,5775,5491,5145,4844
제천시,계,25 - 29세,7653,7723,7873,7772,7969,7323,6829,6419,5973,5314,5236,5234,5096,5051,5117,5134,5042,5051,4965
제천시,계,30 - 34세,5558,5848,5979,6204,6407,6687,6600,6662,6523,6620,6040,5758,5435,5081,4574,4571,4564,4459,4450
제천시,계,35 - 39세,6576,6133,5908,5843,5748,5798,6080,6188,6379,6537,6721,6574,6615,6455,6503,5961,5732,5401,5065
제천시,계,40 - 44세,7976,7822,7763,7394,7080,6649,6275,6100,6071,6004,6084,6365,6469,6653,6791,6931,6759,6781,6602
제천시,계,45 - 49세,9185,8848,8280,8067,8012,8216,8132,8124,7779,7456,7012,6637,6462,6434,6383,6485,6768,6876,7065
제천시,계,50 - 54세,11572,11530,11018,10727,10239,9637,9353,8828,8668,8668,8915,8859,8870,8512,8155,7687,7294,7108,7087
제천시,계,55 - 59세,11430,11165,11978,12122,12096,12120,12132,11683,11423,10946,10357,10076,9557,9433,9488,9772,9749,9768,9379
제천시,계,60 - 64세,13436,13422,12850,12513,12051,12017,11786,12592,12755,12779,12875,12938,12547,12311,11829,11244,10954,10433,10345
제천시,계,65 - 69세,10348,11193,11950,12508,13418,13609,13653,13169,12883,12450,12418,12208,12998,13172,13248,13396,13494,13142,12913
제천시,계,70 - 74세,7113,7379,7965,8756,9671,10097,10930,11668,12240,13143,13355,13438,13014,12767,12371,12351,12166,12941,13125
제천시,계,75 - 79세,5584,5640,5652,5735,6011,6571,6826,7370,8114,8965,9389,10188,10884,11455,12325,12544,12657,12294,12091
제천시,계,80 - 84세,4614,4937,5006,5013,4690,4648,4736,4771,4883,5115,5608,5847,6315,6965,7688,8094,8808,9425,9956
제천시,계,85 - 89세,2325,2544,2670,2877,3003,3222,3448,3476,3477,3251,3268,3394,3441,3558,3715,4099,4303,4654,5142
제천시,계,90 - 94세,705,758,864,956,1083,1195,1300,1365,1483,1548,1680,1809,1815,1816,1695,1743,1850,1883,1972
제천시,계,95세 이상,172,189,209,230,257,276,299,341,378,433,471,510,543,596,632,690,748,754,771
보은군,계,계,31179,31016,30926,30887,30894,30957,31029,31115,31208,31329,31452,31574,31707,31828,31958,32074,32184,32278,32367
보은군,계,0 - 4세,516,456,407,392,379,379,382,392,405,417,425,432,440,447,449,448,442,436,426
보은군,계,5 - 9세,766,731,696,634,570,507,455,414,401,389,393,396,411,426,440,450,459,465,472
보은군,계,10 - 14세,919,908,883,848,801,777,745,713,657,595,537,493,454,440,429,434,438,455,469
보은군,계,15 - 19세,1068,1006,948,925,952,915,911,889,859,820,794,761,728,672,613,557,515,476,467
보은군,계,20 - 24세,1035,1048,1039,1022,971,924,903,874,873,900,875,875,851,826,795,778,747,714,651
보은군,계,25 - 29세,989,906,888,853,833,869,841,812,779,727,703,700,682,693,712,689,694,673,670
보은군,계,30 - 34세,954,948,953,960,950,928,899,896,866,855,852,793,763,722,673,657,659,646,652
보은군,계,35 - 39세,1155,1073,1023,975,972,951,982,1005,1025,1029,1021,998,991,962,950,928,862,831,785
보은군,계,40 - 44세,1426,1428,1370,1330,1250,1186,1117,1084,1054,1062,1056,1099,1122,1144,1152,1147,1127,1115,1084
보은군,계,45 - 49세,1634,1523,1439,1431,1461,1526,1544,1504,1469,1389,1320,1248,1220,1195,1206,1204,1250,1277,1305
보은군,계,50 - 54세,2339,2289,2203,2114,1999,1904,1818,1749,1748,1785,1849,1871,1839,1800,1711,1632,1547,1512,1491
보은군,계,55 - 59세,2999,2916,3005,2956,2911,2874,2857,2787,2707,2595,2492,2395,2314,2311,2356,2433,2471,2444,2388
보은군,계,60 - 64세,3954,3991,3863,3777,3570,3500,3439,3558,3546,3538,3539,3550,3493,3415,3292,3173,3068,2973,2974
보은군,계,65 - 69세,3330,3572,3761,3918,4195,4284,4333,4218,4141,3949,3892,3845,3983,3998,4017,4044,4069,4017,3933
보은군,계,70 - 74세,2379,2422,2579,2817,3106,3320,3560,3758,3929,4217,4310,4371,4276,4206,4034,3992,3958,4106,4140
보은군,계,75 - 79세,1941,1917,1942,2024,2134,2223,2278,2429,2655,2928,3136,3366,3564,3740,4019,4113,4183,4105,4053
보은군,계,80 - 84세,2026,2024,1966,1853,1726,1636,1647,1691,1771,1868,1954,2015,2157,2361,2609,2796,3000,3187,3358
보은군,계,85 - 89세,1235,1286,1337,1351,1339,1426,1437,1406,1336,1253,1213,1241,1288,1356,1426,1500,1555,1671,1838
보은군,계,90 - 94세,406,459,487,559,623,662,695,731,751,752,812,828,813,780,732,723,753,790,835
보은군,계,95세 이상,108,113,137,148,152,166,186,205,236,261,279,297,318,334,343,376,387,385,376
옥천군,계,계,48452,48471,48514,48608,48741,48900,49062,49231,49405,49577,49742,49919,50081,50240,50377,50503,50616,50706,50784
옥천군,계,0 - 4세,825,744,703,652,627,621,629,651,679,708,733,755,774,794,806,810,804,791,773
옥천군,계,5 - 9세,1406,1324,1216,1107,1011,914,827,783,729,702,695,708,733,761,793,821,847,870,893
옥천군,계,10 - 14세,1819,1746,1714,1676,1564,1474,1392,1287,1178,1074,972,885,837,783,760,755,769,797,829
옥천군,계,15 - 19세,1760,1821,1801,1792,1812,1810,1740,1716,1681,1584,1506,1426,1323,1221,1116,1016,935,886,828
옥천군,계,20 - 24세,1963,1867,1818,1783,1731,1715,1777,1745,1733,1759,1763,1708,1698,1664,1589,1532,1457,1361,1269
옥천군,계,25 - 29세,1803,1735,1676,1638,1649,1594,1531,1481,1429,1360,1338,1376,1333,1338,1368,1366,1329,1331,1308
옥천군,계,30 - 34세,1641,1582,1576,1573,1590,1596,1580,1569,1552,1545,1464,1396,1337,1270,1190,1170,1196,1153,1170
옥천군,계,35 - 39세,1989,1866,1766,1728,1678,1724,1705,1738,1761,1789,1789,1766,1744,1714,1692,1597,1523,1453,1375
옥천군,계,40 - 44세,2695,2706,2666,2529,2391,2186,2059,1959,1929,1896,1952,1953,2003,2033,2067,2064,2037,2009,1969
옥천군,계,45 - 49세,3185,3026,2840,2823,2833,2925,2949,2917,2784,2642,2441,2317,2223,2201,2177,2239,2258,2321,2355
옥천군,계,50 - 54세,4026,4088,4015,3931,3816,3660,3489,3307,3299,3325,3431,3466,3436,3299,3142,2931,2784,2686,2668
옥천군,계,55 - 59세,4417,4327,4574,4584,4662,4652,4740,4671,4584,4455,4278,4104,3923,3922,3965,4088,4133,4108,3960
옥천군,계,60 - 64세,5536,5641,5513,5411,5086,5075,5001,5266,5308,5413,5440,5549,5481,5388,5235,5037,4849,4662,4663
옥천군,계,65 - 69세,4647,4941,5234,5451,5849,5977,6089,5976,5879,5577,5573,5507,5784,5843,5968,6025,6145,6075,5974
옥천군,계,70 - 74세,3524,3706,3863,4189,4526,4700,5010,5312,5547,5953,6094,6210,6114,6022,5743,5748,5691,5971,6052
옥천군,계,75 - 79세,2691,2597,2718,2916,3111,3307,3470,3625,3937,4263,4450,4756,5050,5291,5687,5831,5949,5867,5789
옥천군,계,80 - 84세,2409,2550,2484,2399,2314,2251,2210,2333,2510,2667,2843,2984,3128,3416,3705,3884,4162,4428,4665
옥천군,계,85 - 89세,1501,1495,1544,1553,1541,1717,1828,1789,1740,1687,1670,1669,1774,1903,2015,2161,2272,2390,2625
옥천군,계,90 - 94세,503,581,645,709,770,805,807,850,863,869,986,1048,1024,999,971,990,1014,1085,1162
옥천군,계,95세 이상,112,128,148,164,180,197,229,256,283,309,324,336,362,378,388,438,462,462,457
영동군,계,계,45397,44808,44415,44186,44098,44122,44178,44251,44318,44389,44456,44506,44551,44603,44643,44667,44682,44681,44679
영동군,계,0 - 4세,807,713,614,577,557,560,573,595,619,638,661,677,691,702,705,702,696,688,676
영동군,계,5 - 9세,1110,1010,920,828,753,687,628,559,538,521,523,535,558,580,603,623,638,650,662
영동군,계,10 - 14세,1446,1432,1448,1374,1278,1169,1079,992,905,826,756,694,625,601,582,584,598,620,644
영동군,계,15 - 19세,1545,1531,1501,1580,1615,1658,1639,1639,1568,1484,1388,1302,1217,1129,1032,943,866,791,762
영동군,계,20 - 24세,2506,2140,1926,1679,1542,1616,1692,1721,1805,1825,1858,1823,1815,1749,1689,1606,1523,1432,1332
